Episode,Reward,Success,Steps
472,8.0,1,3
473,8.0,1,3
474,6.0,1,5
475,7.0,1,4
476,4.0,1,7
477,9.0,1,2
478,7.0,1,4
479,7.0,1,4
480,7.0,1,4
481,7.0,1,4
482,9.0,1,2
483,9.0,1,2
484,7.0,1,4
485,8.0,1,3
486,8.0,1,3
487,9.0,1,2
488,7.0,1,4
489,9.0,1,2
490,8.0,1,3
491,10.0,1,1
492,8.0,1,3
493,10.0,1,1
494,7.0,1,4
495,10.0,1,1
496,7.0,1,4
497,6.0,1,5
498,10.0,1,1
499,6.0,1,5
500,8.0,1,3
